"ID" "raw_numseqs" "raw_sumlen" "raw_minlen" "raw_avglen" "raw_maxlen" "trim_numseqs" "trim_sumlen" "trim_minlen" "trim_avglen" "trim_maxlen" "filt_numseqs" "filt_sumlen" "filt_minlen" "filt_avglen" "filt_maxlen" "pb_numseqs" "pb_sumlen" "pb_minlen" "pb_avglen" "pb_maxlen" "totalassembseqs" "avgcoverage" "loss_rawtotrim" "loss_trimtofilt" "loss_rawtofilt"
"32" "NDSU22" 16680030 2502004500 150 150 150 16237852 2413423946 1 148.6 150 15539082 2310092245 7 148.65 150 2086373 31281332391 471 15053.6386363636 50892 17625455 6942.01971216099 0.0265094247432409 0.0430334012158751 0.068402035248138
"33" "NDSU24" 11018612 1652791800 150 150 150 10036756 1485916692 1 148.05 150 9426938 1398199007 1 148.3 150 2086373 31281332391 471 15053.6386363636 50892 11513311 6754.2763244937 0.0891088641654684 0.0607584761450811 0.144453221512837
"34" "NDSU25" 21230992 3184648800 150 150 150 20818756 3094697229 1 148.65 150 20048086 2980718984 36 148.65 150 2086373 31281332391 471 15053.6386363636 50892 22134459 7080.01918603375 0.0194167093087313 0.0370180619821857 0.0557160023422363
"35" "NDSU26" 17879578 2681936700 150 150 150 15571582 2298962698 1 147.65 150 14805636 2190658397 1 147.95 150 2086373 31281332391 471 15053.6386363636 50892 16892009 6917.43855237099 0.129085596986685 0.0491887079938313 0.171924751244129
"36" "NDSU28" 10825258 1623788700 150 150 150 10109758 1489159761 1 147.3 150 4635202 687036727 5 148.25 150 2086373 31281332391 471 15053.6386363636 50892 6721575 6607.92132986739 0.0660954223908566 0.541512071802312 0.571816025077647
"37" "NDSU29" 17554696 2633204400 150 150 150 17054100 2532637000 1 148.55 150 16382528 2433502816 12 148.55 150 2086373 31281332391 471 15053.6386363636 50892 18468901 6967.49634281777 0.0285163582439707 0.0393789176796196 0.0667723325997784
"38" "NDSU30" 12282180 1842327000 150 150 150 10436994 1541977553 1 147.7 150 6903564 1022634937 1 148.1 150 2086373 31281332391 471 15053.6386363636 50892 8989937 6676.94524007945 0.150232776266103 0.338548628081994 0.437920304050258
"39" "NDSU4" 18821628 2823244200 150 150 150 14048548 1863239388 1 132.65 150 12024178 1600346822 1 133.1 150 2086373 31281332391 471 15053.6386363636 50892 14110551 6795.9487944134 0.253595491314566 0.144098165874509 0.361151012016601
"40" "NDSU5" 10536898 1580534700 150 150 150 10187072 1512772880 1 148.5 150 9845660 1462509582 18 148.55 150 2086373 31281332391 471 15053.6386363636 50892 11932033 6767.56804522666 0.033200093613889 0.0335142423652253 0.0656016599951902
"41" "NDSU6" 12904600 1935690000 150 150 150 12581148 1864782728 1 148.25 150 12118988 1796684246 36 148.25 150 2086373 31281332391 471 15053.6386363636 50892 14205361 6836.34860483136 0.0250648605923469 0.0367343266290167 0.0608784464454536
"42" "NDSU7" 12394052 1859107800 150 150 150 9495344 1398925515 1 147.35 150 9150558 1352174026 4 147.75 150 2086373 31281332391 471 15053.6386363636 50892 11236931 6744.80134798557 0.233878960649834 0.0363110593992171 0.261697627216668
"43" "NDSU8" 12516516 1877477400 150 150 150 7469754 1101687021 1 147.45 150 7205016 1065487784 5 147.9 150 2086373 31281332391 471 15053.6386363636 50892 9291389 6685.8404507033 0.403208209057536 0.0354413277866982 0.424359302540739
"44" "NDSU9" 12445738 1866860700 150 150 150 9273082 1363898680 1 147.1 150 4571558 677317363 3 148.2 150 2086373 31281332391 471 15053.6386363636 50892 6657931 6605.9316652802 0.254919073501306 0.507007702509263 0.632680842228882
